resident_id,address,latitude,longitude,geocode_status
P0001,架空住所0001,26.089191,127.717927,matched
P0002,架空住所0002,26.082863,127.730815,matched
P0003,架空住所0003,26.093654,127.719108,matched
P0004,架空住所0004,26.113601,127.712738,matched
P0005,架空住所0005,26.127090,127.643465,matched
P0006,架空住所0006,26.125481,127.735884,matched
P0007,架空住所0007,26.137450,127.696662,matched
P0008,架空住所0008,26.159344,127.640873,matched
P0009,架空住所0009,26.139154,127.646182,matched
P0010,架空住所0010,26.087678,127.677446,matched
P0011,架空住所0011,26.136350,127.680383,matched
P0012,架空住所0012,26.124287,127.719966,matched
P0013,架空住所0013,26.142697,127.662884,matched
P0014,架空住所0014,26.113936,127.671725,matched
P0015,架空住所0015,26.156926,127.636391,matched
P0016,架空住所0016,26.156607,127.684233,matched
P0017,架空住所0017,26.132881,127.672742,matched
P0018,架空住所0018,26.107592,127.686619,matched
P0019,架空住所0019,26.102248,127.719095,matched
P0020,架空住所0020,26.087540,127.684994,matched
P0021,架空住所0021,26.118266,127.681842,matched
P0022,架空住所0022,26.149975,127.693180,matched
P0023,架空住所0023,26.101719,127.696046,matched
P0024,架空住所0024,26.150513,127.721849,matched
P0025,架空住所0025,26.081676,127.669132,matched
P0026,架空住所0026,26.087515,127.704267,matched
P0027,架空住所0027,26.144493,127.711677,matched
P0028,架空住所0028,26.090730,127.683600,matched
P0029,架空住所0029,26.105449,127.673454,matched
P0030,架空住所0030,26.121344,127.748400,matched
P0031,架空住所0031,26.093222,127.630191,matched
P0032,架空住所0032,26.088054,127.649736,matched
P0033,架空住所0033,26.134336,127.735338,matched
P0034,架空住所0034,26.135839,127.710181,matched
P0035,架空住所0035,26.116260,127.681792,matched
P0036,架空住所0036,26.156978,127.653007,matched
P0037,架空住所0037,26.111556,127.676747,matched
P0038,架空住所0038,26.155808,127.707010,matched
P0039,架空住所0039,26.122183,127.726214,matched
P0040,架空住所0040,26.126116,127.657666,matched
P0041,架空住所0041,26.137844,127.662612,matched
P0042,架空住所0042,26.131840,127.707767,matched
P0043,架空住所0043,26.104074,127.655604,matched
P0044,架空住所0044,26.127469,127.639296,matched
P0045,架空住所0045,26.135295,127.743357,matched
P0046,架空住所0046,26.154724,127.696537,matched
P0047,架空住所0047,26.105824,127.730491,matched
P0048,架空住所0048,26.112143,127.653733,matched
P0049,架空住所0049,26.125583,127.679694,matched
P0050,架空住所0050,26.155108,127.713771,matched
P0051,架空住所0051,26.107680,127.648348,matched
P0052,架空住所0052,26.147049,127.631346,matched
P0053,架空住所0053,26.147246,127.668842,matched
P0054,架空住所0054,26.122873,127.683148,matched
P0055,架空住所0055,26.084375,127.740953,matched
P0056,架空住所0056,26.132555,127.661324,matched
P0057,架空住所0057,26.143244,127.734166,matched
P0058,架空住所0058,26.144266,127.695388,matched
P0059,架空住所0059,26.127675,127.681143,matched
