resident_id,address,latitude,longitude,note
R001,架空住所A,26.13,127.67,糸満市内・通常ケース：有効座標、候補3件、今回の洪水ZIPでは区域外想定
R002,架空住所B,26.134,127.6755,糸満市内・通常ケース：有効座標、候補3件、今回の洪水ZIPでは区域外想定
R003,架空住所C,26.14,127.6825,糸満市内・通常ケース：有効座標、候補3件、今回の洪水ZIPでは区域外想定
R004,架空住所D,,,座標欠損：match_status=no_coordinates、候補・ハザード判定は空欄
R005,架空住所E,95.0,127.67,緯度範囲外：match_status=invalid_coordinates、候補・ハザード判定は空欄
R006,架空住所F,26.13,200.0,経度範囲外：match_status=invalid_coordinates確認用
R007,架空住所G（市外テスト地点）,26.1848125,127.68515625,実ハザード陽性確認用：A31a-25_47_10 / 20_想定最大規模のポリゴン内
R008,架空住所H（市外テスト地点）,26.2015831345,127.6783003593,実ハザード陽性確認用：A31a-25_47_10 / 42_家屋倒壊等氾濫想定区域_河岸侵食のポリゴン内
R009,架空住所I（市外テスト地点）,26.452020835,127.94015625,実ハザード陽性確認用：A31a-25_47_20 / 20_想定最大規模のポリゴン内
R010,架空住所J（市外テスト地点）,26.4593742315,127.9356611126,実ハザード陽性確認用：A31a-25_47_20 / 42_家屋倒壊等氾濫想定区域_河岸侵食のポリゴン内
